,fsq_id,categories,chains,closed_bucket,distance,link,name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.address_extended,location.census_block,location.country,location.dma,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,search_latitude,search_longitude,search_radius,timezone,location.cross_street,related_places.parent.fsq_id,related_places.parent.categories,related_places.parent.name,related_places.children,geocodes.front_door.latitude,geocodes.front_door.longitude,location.po_box
652,58b856da03cf257b097a922d,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1959.0,/v3/places/58b856da03cf257b097a922d,Kids Learning Academy Bellevue,47.628996,-122.146187,47.628996,-122.146187,14508 NE 20th St,,530330237022000,US,Seattle-Tacoma,"14508 NE 20th St (148th), Bellevue, WA 98007",Bellevue,98007,WA,,,47.61354,-122.1585,2000,America/Los_Angeles,148th,,,,,,,
659,7c3b2ea8829449f8a9b435f3,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,1410.0,/v3/places/7c3b2ea8829449f8a9b435f3,Bright Horizons Family Solutions,47.64227,-122.139768,,,3635 150TH Ave NE,,530330228031019,US,Seattle-Tacoma,"3635 150TH Ave NE, Redmond, WA 98052",Redmond,98052,WA,,,47.64095,-122.1585,2000,,,,,,,,,
661,c7c42a4139174539e2f14e91,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,1960.0,/v3/places/c7c42a4139174539e2f14e91,Hopelink,47.63281,-122.135271,47.63281,-122.135271,2576 152nd Ave NE,,530330228032000,US,Seattle-Tacoma,"2576 152nd Ave NE, Redmond, WA 98052",Redmond,98052,WA,,,47.64095,-122.1585,2000,,,,,,,,,
662,2f660f7f34a04907e34c751c,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,686.0,/v3/places/2f660f7f34a04907e34c751c,Sunflower Daycare,47.670344,-122.149887,47.670344,-122.149887,14220 NE 73rd St,,530330226061004,US,Seattle-Tacoma,"14220 NE 73rd St, Redmond, WA 98052",Redmond,98052,WA,47.670139,-122.149889,47.66835,-122.1585,2000,America/Los_Angeles,,,,,,,,
664,4c181dc71436a5939fec8c75,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,1131.0,/v3/places/4c181dc71436a5939fec8c75,Grasslawn Children's Center,47.67134,-122.144123,47.67134,-122.144123,7355 148th Ave NE,,530330226061007,US,Seattle-Tacoma,"7355 148th Ave NE, Redmond, WA 98052",Redmond,98052,WA,,,47.66835,-122.1585,2000,America/Los_Angeles,,,,,,,,
665,4be35566d27a20a16ef7915b,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1316.0,/v3/places/4be35566d27a20a16ef7915b,Discovery Center,47.679276,-122.164821,47.679276,-122.164821,13111 NE 85th St,,530330226041008,US,Seattle-Tacoma,"13111 NE 85th St, Kirkland, WA 98033",Kirkland,98033,WA,,,47.66835,-122.1585,2000,America/Los_Angeles,,,,,,,,
667,46e37a5bec5f47e23d4118c2,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,312.0,/v3/places/46e37a5bec5f47e23d4118c2,Apple Tree Family Child Care,47.669847,-122.154967,47.669847,-122.154967,7214 138th Pl NE,,530330226063015,US,Seattle-Tacoma,"7214 138th Pl NE, Redmond, WA 98052",Redmond,98052,WA,,,47.66835,-122.1585,2000,,,,,,,,,
668,2413d31f31234e63db5d0fa8,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,645.0,/v3/places/2413d31f31234e63db5d0fa8,Happy Kids Home Daycare,47.669595,-122.150075,47.669595,-122.150075,14210 NE 72nd St,,530330226061008,US,Seattle-Tacoma,"14210 NE 72nd St, Redmond, WA 98052",Redmond,98052,WA,47.669369,-122.150078,47.66835,-122.1585,2000,,,,,,,,,
669,843dab8ce8eb47e2cf5c6406,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],Unsure,877.0,/v3/places/843dab8ce8eb47e2cf5c6406,Pea Patch Preschool,47.671329,-122.147639,47.671329,-122.147639,7353 148th Ave NE,,530330226061007,US,Seattle-Tacoma,"7353 148th Ave NE, Redmond, WA 98052",Redmond,98052,WA,,,47.66835,-122.1585,2000,,,,,,,,,
671,48a3cc4e1e8446d9761f0c8f,"[{'id': 11026, 'name': 'Daycare', 'short_name': 'Daycare', 'plural_name': 'Daycares', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}}]",[],VeryLikelyOpen,524.0,/v3/places/48a3cc4e1e8446d9761f0c8f,Butterfly Home Daycare,47.691243,-122.160548,47.691243,-122.160548,10125 136th Ave NE,,530330226053006,US,Seattle-Tacoma,"10125 136th Ave NE, Kirkland, WA 98033",Kirkland,98033,WA,,,47.69576,-122.1585,2000,America/Los_Angeles,,,,,,,,
