h3_08,propertyType,lotAreaValue,priceChange,zestimate,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,unit,newConstructionType,resultsPerPage,totalPages,totalResultCount,h3_07,geometry,pricePerSqft
8828d5551bfffff,CONDO,,,573000.0,https://photos.zillowstatic.com/fp/2a6700fbf91a4545a2c4c6ef2a24113a-p_e.jpg,569000.0,1.0,-122.3979,47.585632,FOR_SALE,48656542.0,1511.0,46.0,1.0,1003.0,USA,USD,,Apt 203,,41,1,31,8728d5551ffffff,"POLYGON ((-122.39482666961898 47.58322804662694, -122.38985899588438 47.58654059358712, -122.39146519257595 47.590707712505974, -122.39803948057079 47.5915621424186, -122.40300689211975 47.58824948818832, -122.40140027792577 47.58408251132807, -122.39482666961898 47.58322804662694))",567.2981056829511
8828d55421fffff,TOWNHOUSE,3659.04,,749400.0,https://photos.zillowstatic.com/fp/23e71648147b7cce15912e3531a0dcfd-p_e.jpg,735000.0,2.0,-122.409615,47.575695,FOR_SALE,347910725.0,3200.0,13.0,2.0,1087.0,USA,USD,sqft,,NEW_CONSTRUCTION_TYPE_OTHER,41,1,31,8728d5542ffffff,"POLYGON ((-122.40972647907235 47.57328874568726, -122.40476041120107 47.57660212259402, -122.40636701756867 47.58076949568571, -122.41294010898876 47.581623349709616, -122.41790591433265 47.57830986562725, -122.41629889085004 47.57414263470912, -122.40972647907235 47.57328874568726))",676.1729530818767
8828d55421fffff,TOWNHOUSE,1245.816,-19000.0,758600.0,https://photos.zillowstatic.com/fp/001654403ff34c80e55f87074de5e681-p_e.jpg,779000.0,3.0,-122.40888,47.577137,FOR_SALE,66652641.0,3598.0,67.0,3.0,1443.0,USA,USD,sqft,# A,,41,1,31,8728d5542ffffff,"POLYGON ((-122.40972647907235 47.57328874568726, -122.40476041120107 47.57660212259402, -122.40636701756867 47.58076949568571, -122.41294010898876 47.581623349709616, -122.41790591433265 47.57830986562725, -122.41629889085004 47.57414263470912, -122.40972647907235 47.57328874568726))",539.8475398475398
8828d55425fffff,SINGLE_FAMILY,871.2,,966300.0,https://photos.zillowstatic.com/fp/b72f7e262a7d1b48d865552b2c1ed22c-p_e.jpg,979000.0,2.0,-122.40244,47.581112,FOR_SALE,332976506.0,3999.0,40.0,2.0,1588.0,USA,USD,sqft,,,41,1,31,8728d5542ffffff,"POLYGON ((-122.39818748248734 47.57574762302798, -122.39322048061439 47.57906053143108, -122.39482666961898 47.58322804662694, -122.40140027792577 47.58408251132807, -122.40636701756867 47.58076949568571, -122.40476041120107 47.57660212259402, -122.39818748248734 47.57574762302798))",616.4987405541561
8828d5555bfffff,TOWNHOUSE,840.708,,691400.0,https://photos.zillowstatic.com/fp/620dddd843caf6e4eef8242225ae3ab8-p_e.jpg,699950.0,2.0,-122.39307,47.567493,FOR_SALE,49115862.0,2969.0,25.0,2.0,990.0,USA,USD,sqft,,NEW_CONSTRUCTION_TYPE_OTHER,41,1,31,8728d5555ffffff,"POLYGON ((-122.39336937144999 47.563242954416424, -122.3884027792828 47.56655611687355, -122.3900085354632 47.5707245665352, -122.39658130120912 47.57157971162644, -122.40154763135479 47.5682664419281, -122.39994145784223 47.56409813439231, -122.39336937144999 47.563242954416424))",707.020202020202
8828d55519fffff,TOWNHOUSE,640.332,-26000.0,786300.0,https://photos.zillowstatic.com/fp/7f38cc3a5f1493b8b6f9c8cd5ecc810b-p_e.jpg,799000.0,3.0,-122.388084,47.580624,FOR_SALE,340035586.0,3770.0,72.0,2.0,1455.0,USA,USD,sqft,,BUILDER_SPEC,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",549.1408934707904
8828d55519fffff,TOWNHOUSE,884.268,,872600.0,https://photos.zillowstatic.com/fp/7f38cc3a5f1493b8b6f9c8cd5ecc810b-p_e.jpg,865000.0,3.0,-122.38808,47.580673,FOR_SALE,344949558.0,3770.0,44.0,2.0,1455.0,USA,USD,sqft,,BUILDER_SPEC,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",594.5017182130584
8828d55519fffff,MULTI_FAMILY,5401.44,,1221400.0,https://photos.zillowstatic.com/fp/245a79ce894e4d62e37fd28c8d651939-p_e.jpg,1235000.0,6.0,-122.39028,47.579197,FOR_SALE,49124780.0,5425.0,305.0,3.0,0.0,USA,USD,sqft,,,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",
8828d5551bfffff,LOT,0.3559,,,https://photos.zillowstatic.com/fp/971aa5b33a246308af63c2d29a0bc0c4-p_e.jpg,590000.0,,-122.39485,47.583633,FOR_SALE,2091915306.0,2240.0,12.0,,0.0,USA,USD,acres,,,41,1,31,8728d5551ffffff,"POLYGON ((-122.39482666961898 47.58322804662694, -122.38985899588438 47.58654059358712, -122.39146519257595 47.590707712505974, -122.39803948057079 47.5915621424186, -122.40300689211975 47.58824948818832, -122.40140027792577 47.58408251132807, -122.39482666961898 47.58322804662694))",
8828d55519fffff,TOWNHOUSE,,-66000.0,868600.0,https://photos.zillowstatic.com/fp/87323a249b3abb794f98b4d77f653cb0-p_e.jpg,799000.0,3.0,-122.388176,47.58063,FOR_SALE,341777372.0,2169.0,65.0,2.0,1455.0,USA,USD,,# UJQCUI,BUILDER_PLAN,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",549.1408934707904
8828d55425fffff,LOT,0.7002,-150001.0,,https://photos.zillowstatic.com/fp/6450ad9044dc9fe6e2d6078b3f518c11-p_e.jpg,799999.0,,-122.40293,47.579685,FOR_SALE,2079474658.0,2544.0,1020.0,,0.0,USA,USD,acres,,,41,1,31,8728d5542ffffff,"POLYGON ((-122.39818748248734 47.57574762302798, -122.39322048061439 47.57906053143108, -122.39482666961898 47.58322804662694, -122.40140027792577 47.58408251132807, -122.40636701756867 47.58076949568571, -122.40476041120107 47.57660212259402, -122.39818748248734 47.57574762302798))",
8828d54701fffff,SINGLE_FAMILY,3998.808,,1215700.0,https://photos.zillowstatic.com/fp/0f921538d1d0bb3bdf4feff9d5e4d9e9-p_e.jpg,1150000.0,3.0,-122.39338,47.67275,FOR_SALE,49045138.0,3903.0,4.0,2.0,1840.0,USA,USD,sqft,,,41,1,23,8728d5470ffffff,"POLYGON ((-122.38911045085801 47.665566866948524, -122.38413751043201 47.6688764768345, -122.38574505308021 47.673038410143235, -122.3923259546541 47.67389059185697, -122.39729863253477 47.67058087451904, -122.39569067145334 47.666419082931924, -122.38911045085801 47.665566866948524))",625.0
8828d5473dfffff,SINGLE_FAMILY,3881.196,,1528200.0,https://photos.zillowstatic.com/fp/7a96da1c23937b6af9900bee532648b0-p_e.jpg,1395000.0,3.0,-122.38945,47.683823,FOR_SALE,48939798.0,4596.0,5.0,3.0,2925.0,USA,USD,sqft,,,41,1,23,8728d5473ffffff,"POLYGON ((-122.38237898955455 47.68050919345278, -122.37740470231198 47.683818077544956, -122.3790122601068 47.68797921665977, -122.38559452392381 47.688831330063934, -122.39056854871033 47.68552233845717, -122.38896057220238 47.68136134097341, -122.38237898955455 47.68050919345278))",476.9230769230769
8828d54707fffff,SINGLE_FAMILY,3057.912,,925700.0,https://photos.zillowstatic.com/fp/1b8318079e29c270e4db33d7db07a593-p_e.jpg,850000.0,2.0,-122.38897,47.676937,FOR_SALE,48830678.0,2666.0,6.0,1.0,920.0,USA,USD,sqft,,,41,1,23,8728d5470ffffff,"POLYGON ((-122.38574505308021 47.673038410143235, -122.3807714393133 47.676347657205795, -122.38237898955455 47.68050919345278, -122.38896057220238 47.68136134097341, -122.39393392346855 47.6780519864276, -122.3923259546541 47.67389059185697, -122.38574505308021 47.673038410143235))",923.9130434782609
8828d54701fffff,TOWNHOUSE,1224.036,,855100.0,https://photos.zillowstatic.com/fp/3244f905b1acfeb90469656e09ff8182-p_e.jpg,825000.0,3.0,-122.39028,47.6693,FOR_SALE,81769045.0,3734.0,3.0,4.0,1390.0,USA,USD,sqft,,,41,1,23,8728d5470ffffff,"POLYGON ((-122.38911045085801 47.665566866948524, -122.38413751043201 47.6688764768345, -122.38574505308021 47.673038410143235, -122.3923259546541 47.67389059185697, -122.39729863253477 47.67058087451904, -122.39569067145334 47.666419082931924, -122.38911045085801 47.665566866948524))",593.5251798561151
8828d54739fffff,SINGLE_FAMILY,4748.04,,,https://photos.zillowstatic.com/fp/e69f42d50103a76fa807e3b387c7914a-p_e.jpg,1749000.0,4.0,-122.39905,47.68382,FOR_SALE,48673359.0,,6.0,2.0,2620.0,USA,USD,sqft,,,41,1,23,8728d5473ffffff,"POLYGON ((-122.39393392346855 47.6780519864276, -122.38896057220238 47.68136134097341, -122.39056854871033 47.68552233845717, -122.39715029501524 47.68637383970744, -122.4021233835268 47.68306437771091, -122.40051498855455 47.67890352192738, -122.39393392346855 47.6780519864276))",667.5572519083969
8828d54703fffff,SINGLE_FAMILY,5000.688,,816800.0,https://photos.zillowstatic.com/fp/652bc042220840a032ed2e721008f760-p_e.jpg,799950.0,2.0,-122.394325,47.6746,FOR_SALE,348107129.0,3225.0,11.0,3.0,1087.0,USA,USD,sqft,# B,BUILDER_SPEC,41,1,23,8728d5470ffffff,"POLYGON ((-122.39729863253477 47.67058087451904, -122.3923259546541 47.67389059185697, -122.39393392346855 47.6780519864276, -122.40051498855455 47.67890352192738, -122.405487403636 47.67559369717007, -122.40387901649714 47.67143244434496, -122.39729863253477 47.67058087451904))",735.9245630174793
8828d54701fffff,CONDO,5000.688,,577300.0,https://photos.zillowstatic.com/fp/8f95d29c85572e3dc4ff4aca5877c1c1-p_e.jpg,550000.0,2.0,-122.39195,47.67188,FOR_SALE,80110464.0,2500.0,4.0,1.0,882.0,USA,USD,sqft,Apt 402,,41,1,23,8728d5470ffffff,"POLYGON ((-122.38911045085801 47.665566866948524, -122.38413751043201 47.6688764768345, -122.38574505308021 47.673038410143235, -122.3923259546541 47.67389059185697, -122.39729863253477 47.67058087451904, -122.39569067145334 47.666419082931924, -122.38911045085801 47.665566866948524))",623.5827664399093
8828d54707fffff,TOWNHOUSE,1276.308,,,https://photos.zillowstatic.com/fp/13180a1b6976b0c1cbe65b17ca5124b8-p_e.jpg,620000.0,2.0,-122.38789,47.676575,FOR_SALE,48830646.0,,88.0,2.0,1120.0,USA,USD,sqft,Apt C,,41,1,23,8728d5470ffffff,"POLYGON ((-122.38574505308021 47.673038410143235, -122.3807714393133 47.676347657205795, -122.38237898955455 47.68050919345278, -122.38896057220238 47.68136134097341, -122.39393392346855 47.6780519864276, -122.3923259546541 47.67389059185697, -122.38574505308021 47.673038410143235))",553.5714285714286
8828d54707fffff,CONDO,,,445900.0,https://photos.zillowstatic.com/fp/d02da381bd67f07118bb835185ad1561-p_e.jpg,435000.0,1.0,-122.387245,47.67406,FOR_SALE,49058792.0,1714.0,11.0,1.0,687.0,USA,USD,,Apt 204,,41,1,23,8728d5470ffffff,"POLYGON ((-122.38574505308021 47.673038410143235, -122.3807714393133 47.676347657205795, -122.38237898955455 47.68050919345278, -122.38896057220238 47.68136134097341, -122.39393392346855 47.6780519864276, -122.3923259546541 47.67389059185697, -122.38574505308021 47.673038410143235))",633.1877729257642
